id,district_name,country_name,id,load_id,source_emlak_id,age,price,createdate,updateddate,maplocation_lon,maplocation_lat,city_id,country_id,district_id,sqm_netsqm,room,livingroom,floor_count,detaildescription,is_furnished,is_gaz,is_furnished,price,sqm_netsqm,sqm_price
1611,Deniz,Muratpa?a,1611,3,39890059,111,6000,58:03.8,14:12.4,30.69568554,36.8892905,7,2039,11041,90,2,1,7,G?LL?K CADDES?NDE K?RALIK E?YALI ODA hepsiemlak'ta! Antalya Muratpa?a Deniz Sahibinden Kiral?k 100 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,6000,90,66
1556,Memurevleri,Muratpa?a,1556,3,39878178,50,10000,55:28.6,19:50.7,30.69166379,36.89570472,7,2039,11049,107,2,1,6,Muratpa?a Memurevleri Mah Kiral?k Mobilyal? Daire hepsiemlak'ta! Antalya Muratpa?a Memurevleri Emlak??dan Kiral?k 120 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,10000,107,93
1217,Memurevleri,Muratpa?a,1217,3,39508692,45,10000,39:57.8,20:22.2,30.68906079,36.89511131,7,2039,11049,125,3,1,4,Muratpa?a Memurevleri Mah Mobilyal? Kiral?k Daire hepsiemlak'ta! Antalya Muratpa?a Memurevleri Emlak??dan Kiral?k 140 m2 3+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,10000,125,80
193,Memurevleri,Muratpa?a,193,3,39837870,45,9000,25:09.8,39:54.7,30.68949562,36.89587633,7,2039,11049,130,3,1,5,Muratpa?a Memurevleri Mah Kiral?k Daire hepsiemlak'ta! Antalya Muratpa?a Memurevleri Emlak??dan Kiral?k 140 m2 3+1 Daire ilan?n?n detaylar? i?in t?klay?n!,FALSE,,FALSE,9000,130,69
252,K??la,Muratpa?a,252,1,39743843,45,13000,35:24.5,00:00.0,30.69781484,36.88626241,7,2039,11108,135,3,1,7,Merkezde Kiral?k 3+1 Daire hepsiemlak'ta! Antalya Muratpa?a K??la Emlak??dan Kiral?k 150 m2 3+1 Daire ilan?n?n detaylar? i?in t?klay?n!,FALSE,,FALSE,13000,135,96
1506,Zerdalilik,Muratpa?a,1506,3,39882510,45,8000,42:46.0,07:10.0,30.71603022,36.87707419,7,2039,11044,100,2,1,4,"CEBESOYDA A?LEYE 2+1, 120.m2 K?RALIK DA?RE hepsiemlak'ta! Antalya Muratpa?a Zerdalilik Emlak??dan Kiral?k 125 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!",FALSE,,FALSE,8000,100,80
347,Deniz,Muratpa?a,347,3,39755164,40,6500,17:19.1,14:22.0,30.68517726,36.88747466,7,2039,11041,100,2,1,5,K?RALI DA?RE DEN?Z MAH 5 KAT 2+1  6500 TL hepsiemlak'ta! Antalya Muratpa?a Deniz Emlak??dan Kiral?k 110 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!,FALSE,,FALSE,6500,100,65
161,Zafer,Kepez,161,3,39833128,35,8000,18:00.5,07:39.9,30.68723812,36.91723594,7,2037,11208,100,2,1,8,g?ney cephe. etraf? a??k. ferah ..g?venlikli site i?inde 2 oda 1 salon..tertemiz 8/8 .kat hepsiemlak'ta! Antalya Kepez Zafer Sahibinden Kiral?k 110 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!,FALSE,,FALSE,8000,100,80
980,Elmal?,Muratpa?a,980,3,39666881,35,15000,13:51.7,00:00.0,30.70378125,36.88628341,7,2039,11109,75,2,1,7,Merkez Cumhuriyet meydan?nda Ana cadde hepsiemlak'ta! Antalya Muratpa?a Elmal? Emlak??dan Kiral?k 80 m2 2+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,15000,75,200
1516,??gen,Muratpa?a,1516,3,39895711,35,4000,21:43.6,54:51.2,30.69390834,36.89583459,7,2039,11060,40,1,1,4,Kazanc?dan Merkezde k?smen e?yal? 1+1 hepsiemlak'ta! Antalya Muratpa?a ??gen Emlak??dan Kiral?k 50 m2 1+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,4000,40,100
791,Bah?elievler,Muratpa?a,791,1,39491804,35,18000,37:05.8,00:00.0,30.69109436,36.88615785,7,2039,11039,140,3,1,5,BAH?EL?EVLER PAM?RDE 3+1 K?RALIK DA?RE hepsiemlak'ta! Antalya Muratpa?a Bah?elievler Emlak??dan Kiral?k 150 m2 3+1 Daire ilan?n?n detaylar? i?in t?klay?n!,FALSE,,FALSE,18000,140,128
1300,Gen?lik,Muratpa?a,1300,3,39162176,35,28000,46:18.6,24:36.4,30.71091971,36.87982863,7,2039,11043,110,3,1,4,I??klarda e?yal? hepsiemlak'ta! Antalya Muratpa?a Gen?lik Sahibinden Kiral?k 120 m2 3+1 Daire ilan?n?n detaylar? i?in t?klay?n!,TRUE,,TRUE,28000,110,254
